Cereal,Grams,Calories,Sodium,Dietary Fiber,Sugar,Company,Intended for
Cheerios,28,103,186,3,1,General Mills,Adults
Cinnamon Toast Crunch,31,134,217,1,10,General Mills,Children
Cocoa Puffs,27,108,144,1,13,General Mills,Children
Corn Chex,31,114,289,1,3,General Mills,Adults
Golden Grahams,30,120,270,1,10,General Mills,Children
Honey Nut Cheerios,28,110,190,2,9,General Mills,Adults
Lucky Charms,35,142,238,2,14,General Mills,Children
Trix,32,128,180,1,14,General Mills,Children
Wheat Chex,28,101,235,3,3,General Mills,Adults
Wheaties,27,99,189,3,4,General Mills,Adults
Cap'n Crunch,27,109,202,1,12,Quaker,Children
Cinnamon Life,32,119,153,2,8,Quaker,Children
Honey Graham OH!S,27,111,166,1,12,Quaker,Adults
Life,32,119,164,2,6,Quaker,Adults
Apple Jacks,33,129,146,1,14,Kellogg's,Children
Cocoa Krispies,31,118,197,1,11,Kellogg's,Children
Corn Flakes,28,101,202,1,3,Kellogg's,Adults
Froot Loops,30,118,141,1,13,Kellogg's,Children
Frosted Flakes,30,110,139,1,12,Kellogg's,Children
Frosted Mini Wheats,28,100,0,3,7,Kellogg's,Adults
Honey Smacks,27,104,50,1,15,Kellogg's,Children
Raisin Bran,28,90,162,3,8,Kellogg's,Adults
Rice Krispies,33,128,299,0,3,Kellogg's,Adults
Special K,32,122,137,2,11,Kellogg's,Adults
